Sensor Name,Sensor Position,Sensor ID,Timestamp,Recorded Temp,Target Temp,Allowed Temp Range,Highest Recorded Temp,Lowest Recorded Temp,% Spent Above Temp Range,% Spent Within Temp Range,% Spent Below Temp Range,% Spent in Error State,Error
Praise the Haze,1,28-01131fd06c2a,"Thu, Dec 27, 2018 11:50:25 AM",74.97,75,73-77,74.97,74.97,0.0,100.0,0.0,0.0,
Moonlight Pale,2,28-021318f245aa,"Thu, Dec 27, 2018 11:50:25 AM",75.2,75,73-77,75.2,75.2,0.0,100.0,0.0,0.0,
